Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,1,5849.0
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0,6091.0
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1,3000.0
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1,4941.0
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1,6000.0
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1,9613.0
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1,3849.0
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,5540.0
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1,5532.0
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0,23809.0
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1,3900.0
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,1,4340.0
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1,11179.0
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0,4693.0
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1,2385.0
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1,4950.0
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,1,3596.0
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0,3510.0
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0,4887.0
Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,1,6100.0
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0,7660.0
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1,11580.0
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0,4511.0
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0,5282.0
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,0,6642.0
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1,9560.0
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1,5052.0
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1,5266.0
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0,1442.0
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,1,5833.0
